Posted On,BHK,Rent,Size,Offered Floor,Total Floors,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Rent per Sq M,Avg Rent in Locality
2022-06-28,2,32000,750,4,7,Super Area,"Shree Sai Usha Complex, Bhandup West",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner,42.67,32000.0
2022-06-16,1,15000,450,3,4,Super Area,Dahisar East,Mumbai,Unfurnished,Family,1,Contact Owner,33.33,16666.67
2022-06-04,1,35000,500,8,23,Super Area,Powai,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner,70.0,79750.0
2022-06-02,1,39000,585,4,7,Super Area,"Chanchal Kalyan Complex, Yari Road",Mumbai,Unfurnished,Family,2,Contact Agent,66.67,39000.0
2022-06-16,1,22000,575,14,15,Super Area,Kanjurmarg East,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,38.26,15666.67
2022-06-23,1,15000,275,4,7,Super Area,Borivali East,Mumbai,Unfurnished,Bachelors/Family,1,Contact Owner,54.55,25000.0
2022-06-27,2,37000,800,6,14,Super Area,"Mayuresh Srishti, Bhandup West",Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,46.25,37000.0
2022-06-04,1,32000,450,2,5,Super Area,Andheri West,Mumbai,Furnished,Bachelors/Family,1,Contact Owner,71.11,61000.0
2022-06-27,1,20000,625,11,12,Super Area,Dahisar East,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner,32.0,16666.67
2022-06-23,1,22000,377,4,23,Super Area,"Srishti Elegance, Bhandup West",Mumbai,Unfurnished,Bachelors/Family,2,Contact Owner,58.36,22000.0
2022-06-08,2,31000,700,3,8,Super Area,"Sai Aasha Daya, Mulund East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner,44.29,31000.0
2022-06-23,1,27000,450,3,3,Super Area,Andheri West,Mumbai,Unfurnished,Family,1,Contact Agent,60.0,61000.0
2022-06-23,1,17000,340,2,8,Super Area,Goregaon East,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner,50.0,53550.0
2022-06-15,1,35000,420,1,3,Super Area,in Andheri West,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner,83.33,35000.0
2022-06-21,2,65000,1500,4,5,Super Area,in Sion,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Owner,43.33,65000.0
2022-06-08,1,35000,500,2,5,Super Area,Ghatkopar West,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner,70.0,35000.0
2022-07-07,4,130000,1650,14,18,Carpet Area,"Ajmera Bhakti Park, Bhakti Park",Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,78.79,61000.0
2022-07-08,1,30000,490,3,4,Carpet Area,"Sion East, Sion",Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,61.22,35000.0
2022-07-09,2,85000,777,19,24,Carpet Area,"Hiranandani Castle Rock, Powai",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,109.4,80000.0
2022-07-06,2,35000,650,7,7,Carpet Area,Charkop,Mumbai,Unfurnished,Family,2,Contact Agent,53.85,25000.0
2022-07-09,1,21000,425,12,21,Carpet Area,"Godrej Tranquil, Kandivali East",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,49.41,23000.0
2022-07-01,2,100000,850,5,7,Carpet Area,Prabhadevi,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,117.65,65000.0
2022-07-09,2,60000,888,10,20,Carpet Area,"Shapoorji Pallonji Vicinia, Chandivali",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,67.57,60016.67
2022-07-09,4,190000,2079,5,58,Carpet Area,"Bombay Dyeing Two ICC, Dadar East",Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent,91.39,210000.0
2022-07-09,2,44000,722,35,48,Carpet Area,"Sheth Montana, Mulund West",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,60.94,47000.0
2022-07-09,2,40000,680,6,14,Carpet Area,"NG Royal Park, Kanjurmarg East",Mumbai,Furnished,Bachelors,2,Contact Agent,58.82,41000.0
2022-07-09,2,43000,1150,15,40,Carpet Area,"Montana Giona, Moti Nagar",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,37.39,43000.0
2022-07-07,1,16000,410,10,22,Carpet Area,Mira Bhayandar,Mumbai,Semi-Furnished,Family,2,Contact Agent,39.02,16000.0
2022-07-07,2,65000,710,12,14,Carpet Area,"Ajmera Bhakti Park, Bhakti Park",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,91.55,61000.0
2022-07-01,1,27000,435,4,7,Carpet Area,Film City Road,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,62.07,27000.0
2022-07-07,2,95000,1050,26,42,Carpet Area,"Lodha New Cuffe Parade, Wadala East",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,90.48,86500.0
2022-07-06,3,89000,932,15,20,Carpet Area,Powai,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,95.49,79750.0
2022-07-04,1,24000,424,17,23,Carpet Area,"Sethia Kalpavruksh Heights, Irani Wada",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,56.6,24000.0
2022-07-06,2,38000,560,1,3,Carpet Area,Andheri East,Mumbai,Furnished,Bachelors,2,Contact Owner,67.86,38571.43
2022-07-09,2,45000,630,11,32,Carpet Area,Kanjurmarg West,Mumbai,Unfurnished,Bachelors,2,Contact Agent,71.43,45000.0
2022-07-02,3,170000,1400,5,8,Carpet Area,Khar West,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent,121.43,152888.11
2022-07-06,3,75000,1150,33,41,Carpet Area,"Kanakia Levels, Malad East",Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent,65.22,72500.0
2022-07-09,2,47000,751,4,30,Carpet Area,"Kalpataru Towers, Akurli Nagar",Mumbai,Semi-Furnished,Family,2,Contact Agent,62.58,47000.0
2022-07-06,2,55000,696,14,21,Carpet Area,Chandivali,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,79.02,59857.14
2022-07-09,4,120000,1600,10,29,Carpet Area,"Anant Bhoomi, Mahavir Nagar",Mumbai,Unfurnished,Family,4,Contact Agent,75.0,120000.0
2022-07-06,3,70000,1150,8,41,Carpet Area,"Kanakia Levels, Malad East",Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent,60.87,72500.0
2022-07-01,2,85000,650,3,6,Carpet Area,Breach Candy,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,130.77,111666.67
2022-07-04,2,120000,900,6,19,Carpet Area,"Beach Towers, Prabhadevi",Mumbai,Semi-Furnished,Family,2,Contact Agent,133.33,120000.0
2022-07-09,2,60000,760,4,11,Carpet Area,"Kolte Patil Jai Vijay, New Airport Colony",Mumbai,Unfurnished,Family,2,Contact Agent,78.95,60000.0
2022-07-09,3,110000,1500,18,42,Carpet Area,"Lodha New Cuffe Parade, Bhakti Park",Mumbai,Unfurnished,Bachelors/Family,4,Contact Agent,73.33,88000.0
2022-07-04,3,84500,1150,11,12,Carpet Area,Chembur East,Mumbai,Unfurnished,Family,3,Contact Agent,73.48,59874.75
2022-07-09,1,34000,365,19,40,Carpet Area,Malad East,Mumbai,Furnished,Family,1,Contact Agent,93.15,25500.0
2022-07-09,4,220000,2000,10,17,Carpet Area,Juhu Tara,Mumbai,Furnished,Bachelors/Family,4,Contact Agent,110.0,220000.0
2022-07-07,1,25000,400,3,13,Carpet Area,"Mindspace, Mindspace",Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,62.5,32500.0
2022-07-09,2,38000,650,11,16,Carpet Area,"Nirmal Lifestyle, LBS Marg",Mumbai,Furnished,Family,2,Contact Agent,58.46,39500.0
2022-07-06,3,65000,950,0,9,Carpet Area,Tilak Nagar - Harbour Line,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,68.42,52500.0
2022-07-09,3,190000,1514,35,58,Carpet Area,"Bombay Dyeing Two ICC, Dadar East",Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,125.5,210000.0
2022-07-08,3,150000,1250,6,8,Carpet Area,Bandra West,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,120.0,127586.21
2022-07-06,2,55000,720,6,7,Carpet Area,"Dheeraj Swapna Apartment, Pali Hill",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,76.39,55000.0
2022-07-03,3,65000,825,21,22,Carpet Area,Lokhandwala Complex,Mumbai,Furnished,Family,3,Contact Agent,78.79,70000.0
2022-07-06,2,53000,750,13,19,Carpet Area,"Lake Florence, Powai",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,70.67,53000.0
2022-07-07,1,17500,400,4,5,Carpet Area,Evershine Nagar,Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,43.75,17500.0
2022-07-09,3,43000,750,7,16,Carpet Area,Mahavir Nagar,Mumbai,Unfurnished,Family,2,Contact Agent,57.33,43000.0
2022-07-07,1,18000,375,7,24,Carpet Area,"Prasanna Vastu Chs, Jankalyan Nagar",Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,48.0,18000.0
2022-07-09,2,47000,661,20,38,Carpet Area,"Runwal Forests, Kanjurmarg West",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,71.1,41750.0
2022-07-03,2,50000,750,6,7,Carpet Area,D.N. Nagar,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,66.67,50000.0
2022-07-05,2,55000,720,9,20,Carpet Area,Chembur East,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,76.39,59874.75
2022-07-09,2,47000,585,8,8,Carpet Area,Gokuldham,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,80.34,47000.0
2022-07-09,3,160000,1300,38,51,Carpet Area,"Lodha Primero, Mahalakshmi",Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,123.08,160000.0
2022-07-06,2,45002,600,10,17,Carpet Area,"Raheja Vista, Powai",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,75.0,64001.0
2022-07-06,2,48000,700,9,15,Carpet Area,"Sundew CHS, Chandivali",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,68.57,48000.0
2022-07-09,3,55000,900,0,10,Carpet Area,Chikuwadi,Mumbai,Semi-Furnished,Family,2,Contact Agent,61.11,55000.0
2022-07-07,1,26000,400,5,7,Carpet Area,"Dheeraj Kiran CHS Walad West, Sunder Nagar",Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,65.0,26000.0
2022-07-09,3,140000,1330,18,43,Carpet Area,"Lodha Altia, Wadala East",Mumbai,Unfurnished,Bachelors,4,Contact Agent,105.26,140000.0
2022-07-06,3,140000,1064,8,22,Carpet Area,"Rustomjee Seasons, Bandra East",Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent,131.58,140000.0
2022-07-07,2,21000,630,9,12,Carpet Area,Beverly Park,Mumbai,Semi-Furnished,Family,2,Contact Agent,33.33,21000.0
2022-07-07,2,38000,650,5,10,Carpet Area,"Ahimsa Marg, Mindspace",Mumbai,Unfurnished,Family,2,Contact Agent,58.46,38000.0
2022-07-01,3,80000,1050,17,31,Carpet Area,"HDIL Metropolis, Andheri West",Mumbai,Furnished,Family,3,Contact Agent,76.19,80000.0
2022-07-06,2,85000,850,2,8,Carpet Area,Bandra West,Mumbai,Furnished,Bachelors,2,Contact Agent,100.0,127586.21
2022-07-06,3,130000,1330,12,51,Carpet Area,"Oberoi Esquire, Goregaon East",Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,97.74,172500.0
2022-07-06,3,180000,1550,23,24,Carpet Area,Lower Parel,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,116.13,61125.0
2022-07-04,1,25000,380,4,4,Carpet Area,Irla,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent,65.79,42500.0
2022-07-04,1,22000,433,3,7,Carpet Area,"Highway Park Apartment, Kandivali East",Mumbai,Unfurnished,Bachelors,2,Contact Agent,50.81,22000.0
2022-07-06,2,65000,700,6,7,Carpet Area,Mahim,Mumbai,Furnished,Bachelors,2,Contact Agent,92.86,55000.0
2022-07-06,2,35000,550,7,8,Carpet Area,90 ft road,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,63.64,35000.0
2022-07-09,3,130000,1224,15,21,Carpet Area,Mumbai Central,Mumbai,Unfurnished,Family,3,Contact Agent,106.21,78500.0
2022-07-09,3,80000,950,18,25,Carpet Area,Byculla West,Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent,84.21,80000.0
2022-07-07,2,57000,710,16,18,Carpet Area,"Ajmera Bhakti Park, Bhakti Park",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,80.28,61000.0
2022-07-06,3,170000,1300,6,8,Carpet Area,Bandra West,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,130.77,127586.21
2022-07-07,1,14000,305,7,24,Carpet Area,Kandivali West,Mumbai,Unfurnished,Bachelors,1,Contact Agent,45.9,23833.33
2022-07-07,3,80000,1100,19,22,Carpet Area,"Nahar Amrit Shakti powai, Chandivali",Mumbai,Furnished,Bachelors/Family,2,Contact Agent,72.73,69000.0
2022-07-09,3,170000,1150,9,12,Carpet Area,Bandra West,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,147.83,127586.21
2022-07-06,2,55000,700,11,11,Carpet Area,"Shiv Bhagtani Manor 3A, Powai",Mumbai,Furnished,Bachelors/Family,2,Contact Agent,78.57,55000.0
2022-07-07,1,35000,463,6,7,Carpet Area,Rambaug,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,75.59,35000.0
2022-07-06,4,200000,1900,6,11,Carpet Area,"Dheeraj Insignia Apartment, Bandra Kurla Complex",Mumbai,Furnished,Bachelors/Family,3,Contact Agent,105.26,200000.0
2022-07-07,2,36000,650,11,12,Carpet Area,"Keshav Srishti, Bhandup West",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,55.38,36000.0
2022-07-09,2,45000,795,8,13,Carpet Area,"Runwal Elina, Andheri East",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,56.6,45000.0
2022-07-03,1,45000,450,6,7,Carpet Area,Lokhandwala Complex,Mumbai,Furnished,Family,2,Contact Agent,100.0,70000.0
2022-07-09,3,93000,1600,19,27,Carpet Area,"Godrej Platinum, Vikhroli East",Mumbai,Semi-Furnished,Family,3,Contact Agent,58.12,93000.0
2022-07-09,3,130000,1450,10,10,Carpet Area,Santacruz East,Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent,89.66,70000.0
2022-07-09,3,200000,1350,2,5,Carpet Area,anjali,Mumbai,Furnished,Bachelors,3,Contact Agent,148.15,200000.0
2022-07-09,3,55000,925,17,36,Carpet Area,"Runwal Greens, Mulund West",Mumbai,Unfurnished,Bachelors,2,Contact Agent,59.46,55000.0
2022-07-09,4,80000,1450,31,44,Carpet Area,Best Nagar Goregaon West,Mumbai,Unfurnished,Bachelors/Family,4,Contact Agent,55.17,80000.0
2022-07-06,3,220000,1550,31,37,Carpet Area,"Hiranandani Gardens Torino, Hiranandani Gardens",Mumbai,Furnished,Bachelors/Family,3,Contact Agent,141.94,180000.0
2022-07-07,1,40000,420,6,7,Carpet Area,Chembur,Mumbai,Semi-Furnished,Family,2,Contact Agent,95.24,50631.58
2022-07-06,2,35000,650,6,8,Carpet Area,"Riddhi Garden, Film City Road",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,53.85,35000.0
2022-07-09,2,55000,750,2,7,Carpet Area,Santacruz East,Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,73.33,70000.0
2022-07-02,1,50000,413,6,6,Carpet Area,Grant Road,Mumbai,Furnished,Bachelors/Family,1,Contact Owner,121.07,50000.0
2022-07-07,1,32000,420,2,3,Carpet Area,Chembur,Mumbai,Semi-Furnished,Family,2,Contact Agent,76.19,50631.58
2022-07-06,2,39000,630,7,7,Carpet Area,"Yashodham Complex, Goregaon East",Mumbai,Unfurnished,Family,2,Contact Agent,61.9,39000.0
2022-07-06,4,150000,1705,17,29,Carpet Area,"Adani Western Heights, Andheri West",Mumbai,Semi-Furnished,Family,3,Contact Agent,87.98,145000.0
2022-07-07,2,45000,710,9,16,Carpet Area,Saki Vihar Road,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,63.38,45000.0
2022-07-09,3,200000,1350,2,5,Carpet Area,Anand niwas,Mumbai,Furnished,Bachelors,3,Contact Agent,148.15,200000.0
2022-07-07,3,85000,1000,17,25,Carpet Area,"DLH Orchid, Andheri West",Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,85.0,85000.0
2022-07-06,3,130000,1500,8,12,Carpet Area,Central Avenue Road,Mumbai,Unfurnished,Family,3,Contact Agent,86.67,135000.0
2022-07-06,2,48000,670,5,16,Carpet Area,"Velentine Tower, Goregaon East",Mumbai,Semi-Furnished,Family,2,Contact Owner,71.64,48000.0
2022-07-01,1,28000,400,2,5,Carpet Area,Chakala,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,70.0,36500.0
2022-07-06,1,32000,400,4,7,Carpet Area,"Trans Residency, Andheri East",Mumbai,Furnished,Bachelors/Family,1,Contact Agent,80.0,39000.0
2022-07-01,3,40000,1030,11,14,Carpet Area,"Bhairav Residency, Mira Road",Mumbai,Furnished,Family,3,Contact Agent,38.83,40000.0
2022-07-06,1,45000,500,10,16,Carpet Area,Mahim,Mumbai,Unfurnished,Bachelors,2,Contact Agent,90.0,55000.0
2022-07-07,4,180000,1750,10,31,Carpet Area,Andheri West,Mumbai,Semi-Furnished,Bachelors,4,Contact Agent,102.86,61000.0
2022-07-06,2,51000,985,8,15,Carpet Area,"Chembur Heights, Sindhi Society Chembur",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,51.78,51000.0
2022-07-09,3,100000,1400,23,30,Carpet Area,"Hiranandani Verona Co op Housing Society Ltd, Powai",Mumbai,Furnished,Bachelors/Family,3,Contact Agent,71.43,100000.0
2022-07-07,1,16500,470,12,14,Carpet Area,"Kanungos Garden City, Mira Road East",Mumbai,Semi-Furnished,Family,2,Contact Agent,35.11,16500.0
2022-07-07,2,34000,583,11,23,Carpet Area,"Oasis, Akurli Nagar",Mumbai,Unfurnished,Family,2,Contact Agent,58.32,34000.0
2022-07-07,1,24000,500,4,7,Carpet Area,Dattani Park,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Owner,48.0,24000.0
2022-07-06,2,62000,806,4,58,Carpet Area,"Auris Serenity, Malad West",Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent,76.92,74000.0
2022-07-07,1,100000,400,10,10,Carpet Area,"Violette Valley, Bandra West",Mumbai,Furnished,Bachelors/Family,1,Contact Agent,250.0,100000.0
2022-07-06,4,95993,2500,4,7,Carpet Area,Khar West,Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,38.4,152888.11
2022-07-09,3,62000,1100,6,22,Carpet Area,"Lake Homes, Powai",Mumbai,Semi-Furnished,Family,3,Contact Agent,56.36,62000.0
2022-07-06,2,77500,724,20,21,Carpet Area,"Sethia Grandeur, Bandra East",Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,107.04,76250.0
2022-07-06,3,150000,1300,7,7,Carpet Area,Seven Bungalows,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,115.38,103833.33
2022-07-04,1,55000,500,2,7,Carpet Area,Bandra West,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,110.0,127586.21
2022-07-07,2,36000,620,4,14,Carpet Area,Datta Pada,Mumbai,Semi-Furnished,Family,2,Contact Agent,58.06,36000.0
2022-07-06,2,40000,755,13,31,Carpet Area,"Omkar Ananta, Goregaon East",Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,52.98,40000.0
2022-07-01,2,36000,650,4,4,Carpet Area,Tata Nagar,Mumbai,Unfurnished,Family,2,Contact Agent,55.38,36000.0
2022-07-07,2,40000,600,5,10,Carpet Area,"Mindspace, Mindspace",Mumbai,Unfurnished,Family,2,Contact Agent,66.67,32500.0
2022-07-09,2,65000,950,3,45,Carpet Area,"DB Woods, Gokuldham",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,68.42,92500.0
2022-07-06,2,68000,805,13,68,Carpet Area,"Auris Serenity, Kanch Pada",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,84.47,87333.33
2022-07-09,2,48000,742,18,36,Carpet Area,"Runwal Forests, Kanjurmarg West",Mumbai,Unfurnished,Family,2,Contact Agent,64.69,41750.0
2022-07-09,2,85000,902,41,42,Carpet Area,"Lodha Fiorenza, Goregaon East",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,94.24,85000.0
2022-07-06,3,98000,1233,15,68,Carpet Area,"Auris Serenity, Kanch Pada",Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,79.48,87333.33
2022-07-02,2,40000,600,16,20,Carpet Area,Tilak Nagar - Harbour Line,Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,66.67,52500.0
2022-07-07,1,23500,400,2,7,Carpet Area,"Midas Enclave CHS , Nandiadwala Colony",Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,58.75,22833.33
2022-07-07,4,250000,2120,47,76,Carpet Area,"Lodha Marquise, Worli Sea Face",Mumbai,Furnished,Bachelors/Family,5,Contact Agent,117.92,250000.0
2022-07-01,3,110000,1350,13,20,Carpet Area,"Atur Park, Chembur",Mumbai,Semi-Furnished,Bachelors,4,Contact Agent,81.48,110000.0
2022-07-09,4,150000,1937,21,30,Carpet Area,"Raj Grandeur, Powai",Mumbai,Semi-Furnished,Bachelors/Family,5,Contact Agent,77.44,150000.0
2022-07-09,3,70000,1100,19,22,Carpet Area,Chandivali,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,63.64,59857.14
2022-07-09,3,140000,1350,19,32,Carpet Area,"Transcon Triumph, Lokhandwala Complex",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,103.7,145000.0
2022-07-09,2,44000,710,14,18,Carpet Area,"Ajmera Bhakti Park, Bhakti Park",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,61.97,61000.0
2022-07-06,2,45000,660,26,43,Carpet Area,"Wadhwa Atmoshphere, Mulund West",Mumbai,Semi-Furnished,Bachelors,2,Contact Agent,68.18,45000.0
2022-07-07,1,20000,280,12,24,Carpet Area,Century Bazaar,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent,71.43,20000.0
2022-07-06,3,130000,960,10,21,Carpet Area,7 Bungalows Andheri West,Mumbai,Semi-Furnished,Family,3,Contact Agent,135.42,130000.0
2022-07-04,1,27000,472,14,14,Carpet Area,"Marathon Embryo, Bhandup West",Mumbai,Semi-Furnished,Bachelors,2,Contact Owner,57.2,27000.0
2022-07-09,2,94000,800,15,18,Carpet Area,"Kanakia Hollywood, Sai Nagar",Mumbai,Semi-Furnished,Family,2,Contact Agent,117.5,94000.0
2022-07-04,3,150000,1300,7,7,Carpet Area,Seven Bungalows,Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,115.38,103833.33
2022-07-07,2,30000,600,3,5,Carpet Area,"Gokul Apartment, Evershine Nagar",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,50.0,29000.0
2022-07-06,2,45000,650,6,6,Carpet Area,Santacruz East,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Owner,69.23,70000.0
2022-07-06,2,100000,800,2,5,Carpet Area,Bandra West,Mumbai,Furnished,Bachelors/Family,2,Contact Agent,125.0,127586.21
2022-07-06,3,130000,1250,13,29,Carpet Area,"Adani Western Heights, 4 Bunglows",Mumbai,Semi-Furnished,Family,3,Contact Agent,104.0,130000.0
2022-07-07,2,28000,600,2,5,Carpet Area,"Gokul Apartment, Evershine Nagar",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,46.67,29000.0
2022-07-06,3,45000,985,-1,18,Carpet Area,"Gemstar Symphony Apartment, Kandivali West",Mumbai,Unfurnished,Family,3,Contact Agent,45.69,45000.0
2022-07-06,2,65000,805,49,68,Carpet Area,"Auris Serenity, Kanch Pada",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,80.75,87333.33
2022-07-09,1,54500,515,13,42,Carpet Area,"Lodha New Cuffe Parade, Wadala East",Mumbai,Unfurnished,Bachelors/Family,1,Contact Agent,105.83,86500.0
2022-07-09,2,75000,777,18,22,Carpet Area,"Hiranandani Castle Rock, Powai",Mumbai,Furnished,Bachelors/Family,2,Contact Agent,96.53,80000.0
2022-07-06,3,98000,1233,36,68,Carpet Area,"Auris Serenity, Kanch Pada",Mumbai,Semi-Furnished,Bachelors/Family,4,Contact Agent,79.48,87333.33
2022-07-06,2,40000,753,12,31,Carpet Area,"Omkar Ananta, Film City Road",Mumbai,Unfurnished,Bachelors/Family,2,Contact Agent,53.12,40000.0
2022-07-06,2,80000,670,6,17,Carpet Area,Matunga East,Mumbai,Unfurnished,Bachelors,2,Contact Agent,119.4,80000.0
2022-07-09,3,160000,1197,19,26,Carpet Area,"Aristo Pearl Residency, Prabhadevi",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,133.67,160000.0
2022-07-06,2,50000,751,17,20,Carpet Area,"Raj Legacy, Vikhroli West",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,66.58,52500.0
2022-07-09,1,46000,500,7,8,Carpet Area,"Sundar Nagar, Kalina",Mumbai,Furnished,Family,1,Contact Agent,92.0,44000.0
2022-07-06,3,75000,1088,17,37,Carpet Area,"Sunteck City Avenue 1, Goregaon West",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,68.93,65000.0
2022-07-09,3,53000,1000,17,32,Carpet Area,"Mahindra Splendour, Bhandup West",Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,53.0,53000.0
2022-07-08,3,180000,1190,6,12,Carpet Area,"L Nagpal Ruby, Turner Road",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,151.26,180000.0
2022-07-07,1,17000,330,1,7,Carpet Area,Jankalyan Nagar,Mumbai,Semi-Furnished,Bachelors/Family,1,Contact Agent,51.52,17000.0
2022-07-09,3,200000,1400,9,17,Carpet Area,"Hill Road, Bandra West",Mumbai,Furnished,Bachelors/Family,3,Contact Agent,142.86,200000.0
2022-07-04,2,70000,1050,15,15,Carpet Area,"Godrej Prime, Chembur",Mumbai,Furnished,Bachelors/Family,2,Contact Agent,66.67,70000.0
2022-07-09,3,150000,1350,24,25,Carpet Area,"Kalpataru Antariksha, Prabhadevi",Mumbai,Semi-Furnished,Bachelors/Family,3,Contact Agent,111.11,150000.0
2022-07-06,3,90100,975,30,35,Carpet Area,Goregaon East,Mumbai,Semi-Furnished,Bachelors/Family,2,Contact Agent,92.41,53550.0
2022-07-09,2,80000,700,4,8,Carpet Area,Hindu Colony,Mumbai,Furnished,Family,2,Contact Agent,114.29,80000.0
2022-07-07,4,45000,1016,4,36,Carpet Area,"Oasis, Lokhandwala Twp",Mumbai,Unfurnished,Bachelors/Family,3,Contact Agent,44.29,45000.0
2022-07-03,1,40000,444,9,11,Carpet Area,Sakinaka Junction,Mumbai,Unfurnished,Bachelors,2,Contact Agent,90.09,40000.0
2022-07-09,4,250000,2500,3,10,Carpet Area,JVPD Scheme,Mumbai,Furnished,Bachelors/Family,4,Contact Agent,100.0,198000.0
2022-07-09,3,240000,1358,41,50,Carpet Area,"Lodha Kiara, Worli Hill",Mumbai,Semi-Furnished,Family,4,Contact Agent,176.73,240000.0
